timestamp,run_id,phase,connections,rss_mib,container_mem,probe_code,probe_time
2026-06-04T20:25:13+00:00,20260604_202513,before,15,8,"2.059MiB / 8GiB",200,0.002603
2026-06-04T20:25:14+00:00,20260604_202513,during,15,8,"2.281MiB / 8GiB",200,0.002655
2026-06-04T20:25:21+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",curl:,(28)
2026-06-04T20:25:37+00:00,20260604_202513,during,15,4222,"4.127GiB / 8GiB",curl:,(28)
2026-06-04T20:25:53+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",curl:,(28)
2026-06-04T20:26:09+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",curl:,(28)
2026-06-04T20:26:25+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",curl:,(28)
2026-06-04T20:26:41+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",200,9.207459
2026-06-04T20:26:57+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",200,0.002476
2026-06-04T20:27:03+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",200,0.002514
2026-06-04T20:27:09+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",200,0.002612
2026-06-04T20:27:15+00:00,20260604_202513,during,15,4222,"4.126GiB / 8GiB",200,0.002996
2026-06-04T20:27:21+00:00,20260604_202513,during,15,4222,"658.8MiB / 8GiB",200,0.002650
2026-06-04T20:27:27+00:00,20260604_202513,after,15,663,"658.8MiB / 8GiB",200,0.002608
2026-06-04T20:27:39+00:00,20260604_202513,recovered,15,5,"1.656MiB / 8GiB",200,0.002813
2026-06-04T20:27:40+00:00,20260604_202513,before,50,8,"1.812MiB / 8GiB",200,0.002558
2026-06-04T20:27:42+00:00,20260604_202513,during,50,8,"2.41MiB / 8GiB",200,0.002381
2026-06-04T20:27:49+00:00,20260604_202513,during,50,2963,"4.077GiB / 8GiB",curl:,(28)
2026-06-04T20:28:05+00:00,20260604_202513,during,50,8162,"8GiB / 8GiB",curl:,(28)
2026-06-04T20:29:58+00:00,20260604_202513,after,50,8170,"8GiB / 8GiB",curl:,(28)
2026-06-04T20:32:31+00:00,20260604_202513,recovered,50,5,"1.668MiB / 8GiB",200,0.003164
2026-06-04T20:32:32+00:00,20260604_202513,sustained_before,50,8,"1.816MiB / 8GiB",200,0.002697
2026-06-04T20:33:42+00:00,20260604_202513,sustained_after,50,8158,"7.997GiB / 8GiB",curl:,(28)
2026-06-04T20:34:43+00:00,20260604_202513,sustained_before,50,8156,"7.997GiB / 8GiB",curl:,(28)
2026-06-04T20:35:27+00:00,20260604_202513,sustained_after,50,8162,"7.999GiB / 8GiB",curl:,(28)
2026-06-04T20:35:44+00:00,20260604_202513,sustained_before,50,8161,"7.999GiB / 8GiB",curl:,(28)
2026-06-04T20:36:28+00:00,20260604_202513,sustained_after,50,8149,"8GiB / 8GiB",curl:,(28)
